file,rows,min_event_dt,max_event_dt
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin01052018.csv,1505,2018-04-30 03:04:00,2018-04-30 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin02042018.csv,1408,2018-04-01 03:15:00,2018-04-01 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin03042018.csv,1554,2018-04-02 02:56:00,2018-04-02 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin04042018.csv,1763,2018-04-03 03:10:00,2018-04-03 21:52:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin05042018.csv,1612,2018-04-04 03:07:00,2018-04-04 21:32:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin06042018.csv,1677,2018-04-05 03:12:00,2018-04-05 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin07042018.csv,1823,2018-04-06 02:22:00,2018-04-06 22:08:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin08042018.csv,1378,2018-04-07 08:28:00,2018-04-07 22:44:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin09042018.csv,1295,2018-04-08 02:12:00,2018-04-08 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin10042018.csv,1673,2018-04-09 03:14:00,2018-04-09 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin11042018.csv,1683,2018-04-10 03:01:00,2018-04-10 21:50:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin12042018.csv,1646,2018-04-11 03:05:00,2018-04-11 21:32:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin13042018.csv,1673,2018-04-12 03:04:00,2018-04-12 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin14042018.csv,1821,2018-04-13 02:42:00,2018-04-13 22:08:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin15042018.csv,1400,2018-04-14 08:27:00,2018-04-14 22:44:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin16042018.csv,1380,2018-04-15 02:02:00,2018-04-15 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin17042018.csv,1683,2018-04-16 03:24:00,2018-04-16 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin18042018.csv,1671,2018-04-17 03:26:00,2018-04-17 22:07:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin19042018.csv,1679,2018-04-18 03:01:00,2018-04-18 21:32:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin20042018.csv,1649,2018-04-19 02:32:00,2018-04-19 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin21042018.csv,1814,2018-04-20 02:36:00,2018-04-20 22:08:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin22042018.csv,1405,2018-04-21 08:14:00,2018-04-21 22:35:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin23042018.csv,1393,2018-04-22 02:02:00,2018-04-22 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin24042018.csv,1661,2018-04-23 03:05:00,2018-04-23 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin25042018.csv,1730,2018-04-24 02:59:00,2018-04-24 21:55:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin26042018.csv,1755,2018-04-25 03:33:00,2018-04-25 21:32:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin27042018.csv,1692,2018-04-26 02:50:00,2018-04-26 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin28042018.csv,1719,2018-04-27 02:34:00,2018-04-27 22:15:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin29042018.csv,1421,2018-04-28 08:09:00,2018-04-28 22:35:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/April 2018/dwbfgreyhoundwin30042018.csv,1281,2018-04-29 01:57:00,2018-04-29 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin01092018.csv,1748,2018-08-31 02:49:00,2018-08-31 22:08:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin02082018.csv,1698,2018-08-01 02:59:00,2018-08-01 21:26:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin03082018.csv,1816,2018-08-02 02:59:00,2018-08-02 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin04082018.csv,1801,2018-08-03 02:22:00,2018-08-03 22:08:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin05082018.csv,1453,2018-08-04 08:09:00,2018-08-04 22:35:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin06082018.csv,1327,2018-08-05 02:01:00,2018-08-05 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin07082018.csv,1617,2018-08-06 03:10:00,2018-08-06 21:40:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin08082018.csv,1728,2018-08-07 03:05:00,2018-08-07 21:50:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin09082018.csv,1646,2018-08-08 03:09:00,2018-08-08 21:26:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin10082018.csv,1740,2018-08-09 03:07:00,2018-08-09 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin11082018.csv,1811,2018-08-10 02:27:00,2018-08-10 22:08:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin12082018.csv,1442,2018-08-11 08:14:00,2018-08-11 22:35:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin13082018.csv,1355,2018-08-12 02:08:00,2018-08-12 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin14082018.csv,1649,2018-08-13 02:52:00,2018-08-13 21:40:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin15082018.csv,1729,2018-08-14 03:15:00,2018-08-14 21:50:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin16082018.csv,1623,2018-08-15 03:25:00,2018-08-15 21:26:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin17082018.csv,1677,2018-08-16 03:07:00,2018-08-16 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin18082018.csv,1766,2018-08-17 02:40:00,2018-08-17 22:10:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin19082018.csv,1426,2018-08-18 08:12:00,2018-08-18 22:42:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin20082018.csv,1262,2018-08-19 02:05:00,2018-08-19 21:11:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin21082018.csv,1611,2018-08-20 03:05:00,2018-08-20 21:40:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin22082018.csv,1617,2018-08-21 03:05:00,2018-08-21 21:50:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin23082018.csv,1545,2018-08-22 03:30:00,2018-08-22 21:26:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin24082018.csv,1765,2018-08-23 03:17:00,2018-08-23 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin25082018.csv,1813,2018-08-24 02:07:00,2018-08-24 22:10:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin26082018.csv,1389,2018-08-25 08:00:00,2018-08-25 22:35:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin27082018.csv,1262,2018-08-26 02:02:00,2018-08-26 21:11:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin28082018.csv,1633,2018-08-27 03:10:00,2018-08-27 21:40:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin29082018.csv,1697,2018-08-28 03:02:00,2018-08-28 21:50:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin30082018.csv,1635,2018-08-29 03:06:00,2018-08-29 21:26:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/August 2018/dwbfgreyhoundwin31082018.csv,1766,2018-08-30 02:57:00,2018-08-30 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin01012019.csv,1317,2018-12-31 01:03:00,2018-12-31 17:22:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin02122018.csv,1343,2018-12-01 06:47:00,2018-12-01 22:35:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin03122018.csv,1384,2018-12-02 00:07:00,2018-12-02 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin04122018.csv,1484,2018-12-03 01:27:00,2018-12-03 21:40:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin05122018.csv,1742,2018-12-04 01:38:00,2018-12-04 21:52:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin06122018.csv,1548,2018-12-05 01:07:00,2018-12-05 22:10:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin07122018.csv,1654,2018-12-06 01:29:00,2018-12-06 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin08122018.csv,1654,2018-12-07 00:52:00,2018-12-07 23:57:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin09122018.csv,1397,2018-12-08 00:12:00,2018-12-08 23:50:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin10122018.csv,1406,2018-12-09 00:05:00,2018-12-09 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin11122018.csv,1597,2018-12-10 01:27:00,2018-12-10 21:40:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin12122018.csv,1611,2018-12-11 01:10:00,2018-12-11 21:52:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin13122018.csv,1580,2018-12-12 01:25:00,2018-12-12 22:10:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin14122018.csv,1595,2018-12-13 01:12:00,2018-12-13 21:32:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin15122018.csv,1744,2018-12-14 00:48:00,2018-12-14 22:12:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin16122018.csv,1291,2018-12-15 06:25:00,2018-12-15 23:45:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin17122018.csv,1354,2018-12-16 00:02:00,2018-12-16 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin18122018.csv,1605,2018-12-17 01:42:00,2018-12-17 21:40:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin19122018.csv,1733,2018-12-18 00:57:00,2018-12-18 21:52:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin20122018.csv,1648,2018-12-19 01:20:00,2018-12-19 22:10:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin21122018.csv,1650,2018-12-20 01:17:00,2018-12-20 22:00:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin22122018.csv,1695,2018-12-21 00:50:00,2018-12-21 22:12:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin23122018.csv,1419,2018-12-22 07:27:00,2018-12-22 22:35:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin24122018.csv,1299,2018-12-23 00:08:00,2018-12-23 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin25122018.csv,1311,2018-12-24 00:37:00,2018-12-24 17:22:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin26122018.csv,35,2018-12-25 23:06:00,2018-12-25 23:48:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin27122018.csv,1364,2018-12-26 00:00:00,2018-12-26 17:22:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin28122018.csv,1640,2018-12-27 01:02:00,2018-12-27 23:53:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin29122018.csv,1425,2018-12-28 00:08:00,2018-12-28 23:52:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin30122018.csv,1550,2018-12-29 00:07:00,2018-12-29 22:35:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/December 2018/dwbfgreyhoundwin31122018.csv,1500,2018-12-30 00:12:00,2018-12-30 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin01032018.csv,2699,2018-02-28 00:14:00,2018-02-28 23:52:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin02022018.csv,5166,2018-02-01 00:11:00,2018-02-01 23:58:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin03022018.csv,5104,2018-02-02 00:16:00,2018-02-02 22:08:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin04022018.csv,4733,2018-02-03 06:57:00,2018-02-03 22:45:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin05022018.csv,3979,2018-02-04 00:06:00,2018-02-04 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin06022018.csv,4656,2018-02-05 00:42:00,2018-02-05 23:45:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin07022018.csv,4902,2018-02-06 00:03:00,2018-02-06 23:56:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin08022018.csv,3857,2018-02-07 00:00:00,2018-02-07 23:52:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin09022018.csv,4679,2018-02-08 00:11:00,2018-02-08 23:57:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin10022018.csv,4975,2018-02-09 00:14:00,2018-02-09 22:08:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin11022018.csv,4728,2018-02-10 06:57:00,2018-02-10 22:45:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin12022018.csv,3737,2018-02-11 00:30:00,2018-02-11 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin13022018.csv,4934,2018-02-12 01:07:00,2018-02-12 23:50:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin14022018.csv,5154,2018-02-13 00:08:00,2018-02-13 23:51:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin15022018.csv,4738,2018-02-14 00:01:00,2018-02-14 23:51:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin16022018.csv,5098,2018-02-15 00:09:00,2018-02-15 23:53:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin17022018.csv,5168,2018-02-16 00:14:00,2018-02-16 22:08:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin18022018.csv,4890,2018-02-17 06:57:00,2018-02-17 23:59:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin19022018.csv,3876,2018-02-18 00:02:00,2018-02-18 21:19:00
/media/ben/STORAGE/Greyhound Racing/2018/Results/February 2018/dwbfgreyhoundwin20022018.csv,5221,2018-02-19 00:32:00,2018-02-19 23:45:00
