file,rows,min_event_dt,max_event_dt
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin01042021.csv,247,2021-03-31 12:30:00,2021-03-31 20:15:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin02042021.csv,282,2021-04-01 13:00:00,2021-04-01 19:50:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin03042021.csv,192,2021-04-02 13:40:00,2021-04-02 18:10:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin04042021.csv,371,2021-04-03 13:00:00,2021-04-03 20:30:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin05042021.csv,151,2021-04-04 13:00:00,2021-04-04 16:31:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin06042021.csv,311,2021-04-05 13:00:00,2021-04-05 17:25:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin07042021.csv,243,2021-04-06 13:00:00,2021-04-06 20:30:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin08042021.csv,260,2021-04-07 13:00:00,2021-04-07 20:15:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin09042021.csv,252,2021-04-08 13:00:00,2021-04-08 19:50:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin10042021.csv,291,2021-04-09 13:00:00,2021-04-09 20:10:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin11042021.csv,366,2021-04-10 12:30:00,2021-04-10 20:15:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin12042021.csv,189,2021-04-11 13:50:00,2021-04-11 17:30:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin13042021.csv,291,2021-04-12 13:00:00,2021-04-12 19:50:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin14042021.csv,287,2021-04-13 13:00:00,2021-04-13 20:30:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin15042021.csv,277,2021-04-14 13:15:00,2021-04-14 20:15:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin16042021.csv,248,2021-04-15 13:15:00,2021-04-15 20:25:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin17042021.csv,284,2021-04-16 13:00:00,2021-04-16 19:50:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin18042021.csv,260,2021-04-17 11:10:00,2021-04-17 19:30:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin19042021.csv,273,2021-04-18 11:45:00,2021-04-18 17:20:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin20042021.csv,288,2021-04-19 13:00:00,2021-04-19 19:50:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin21042021.csv,322,2021-04-20 13:00:00,2021-04-20 20:30:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin22042021.csv,297,2021-04-21 13:00:00,2021-04-21 19:40:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin23042021.csv,285,2021-04-22 13:00:00,2021-04-22 20:15:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin24042021.csv,280,2021-04-23 13:05:00,2021-04-23 20:05:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin25042021.csv,324,2021-04-24 12:30:00,2021-04-24 20:15:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin26042021.csv,151,2021-04-25 14:00:00,2021-04-25 17:30:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin27042021.csv,311,2021-04-26 13:00:00,2021-04-26 20:00:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin28042021.csv,249,2021-04-27 13:00:00,2021-04-27 20:15:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin29042021.csv,256,2021-04-28 13:00:00,2021-04-28 20:15:00
/media/ben/STORAGE/Horse Racing/2021/Results/April 2021/dwbfpricesukwin30042021.csv,281,2021-04-29 13:00:00,2021-04-29 20:25:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin01082021.csv,304,2021-07-31 13:00:00,2021-07-31 20:50:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin02082021.csv,190,2021-08-01 13:00:00,2021-08-01 17:30:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin03082021.csv,317,2021-08-02 13:00:00,2021-08-02 20:30:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin04082021.csv,278,2021-08-03 13:00:00,2021-08-03 20:20:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin05082021.csv,286,2021-08-04 13:00:00,2021-08-04 21:00:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin06082021.csv,281,2021-08-05 13:00:00,2021-08-05 20:25:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin07082021.csv,239,2021-08-06 13:00:00,2021-08-06 20:25:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin08082021.csv,246,2021-08-07 12:50:00,2021-08-07 20:30:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin09082021.csv,94,2021-08-08 13:00:00,2021-08-08 16:33:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin10082021.csv,180,2021-08-09 13:00:00,2021-08-09 20:25:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin11082021.csv,207,2021-08-10 13:00:00,2021-08-10 20:50:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin12082021.csv,288,2021-08-11 13:00:00,2021-08-11 20:25:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin13082021.csv,296,2021-08-12 13:00:00,2021-08-12 20:52:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin14082021.csv,329,2021-08-13 13:00:00,2021-08-13 20:23:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin15082021.csv,397,2021-08-14 13:00:00,2021-08-14 20:15:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin16082021.csv,159,2021-08-15 13:35:00,2021-08-15 17:25:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin17082021.csv,221,2021-08-16 13:00:00,2021-08-16 20:05:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin18082021.csv,240,2021-08-17 13:00:00,2021-08-17 20:05:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin19082021.csv,347,2021-08-18 13:00:00,2021-08-18 20:45:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin20082021.csv,358,2021-08-19 13:00:00,2021-08-19 20:05:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin21082021.csv,326,2021-08-20 13:00:00,2021-08-20 20:37:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin22082021.csv,344,2021-08-21 13:00:00,2021-08-21 21:00:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin23082021.csv,197,2021-08-22 13:00:00,2021-08-22 18:45:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin24082021.csv,204,2021-08-23 13:00:00,2021-08-23 19:55:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin25082021.csv,306,2021-08-24 13:00:00,2021-08-24 19:35:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin26082021.csv,348,2021-08-25 13:00:00,2021-08-25 21:00:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin27082021.csv,290,2021-08-26 13:00:00,2021-08-26 19:50:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin28082021.csv,271,2021-08-27 13:00:00,2021-08-27 19:40:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin29082021.csv,356,2021-08-28 13:15:00,2021-08-28 19:45:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin30082021.csv,151,2021-08-29 13:30:00,2021-08-29 17:20:00
/media/ben/STORAGE/Horse Racing/2021/Results/August 2021/dwbfpricesukwin31082021.csv,253,2021-08-30 13:00:00,2021-08-30 17:55:00
/media/ben/STORAGE/Horse Racing/2021/Results/December 2021/dwbfpricesukwin01122021.csv,228,2021-11-30 11:40:00,2021-11-30 19:15:00
/media/ben/STORAGE/Horse Racing/2021/Results/December 2021/dwbfpricesukwin02122021.csv,208,2021-12-01 11:50:00,2021-12-01 19:30:00
/media/ben/STORAGE/Horse Racing/2021/Results/December 2021/dwbfpricesukwin03122021.csv,242,2021-12-02 12:22:00,2021-12-02 19:00:00
/media/ben/STORAGE/Horse Racing/2021/Results/December 2021/dwbfpricesukwin04122021.csv,293,2021-12-03 12:00:00,2021-12-03 18:45:00
/media/ben/STORAGE/Horse Racing/2021/Results/December 2021/dwbfpricesukwin05122021.csv,375,2021-12-04 11:15:00,2021-12-04 19:00:00
/media/ben/STORAGE/Horse Racing/2021/Results/December 2021/dwbfpricesukwin06122021.csv,122,2021-12-05 12:03:00,2021-12-05 15:27:00
/media/ben/STORAGE/Horse Racing/2021/Results/December 2021/dwbfpricesukwin07122021.csv,174,2021-12-06 12:15:00,2021-12-06 19:00:00
/media/ben/STORAGE/Horse Racing/2021/Results/December 2021/dwbfpricesukwin08122021.csv,243,2021-12-07 12:00:00,2021-12-07 19:30:00
/media/ben/STORAGE/Horse Racing/2021/Results/December 2021/dwbfpricesukwin09122021.csv,291,2021-12-08 12:10:00,2021-12-08 19:30:00
