basket_file,basket,year,pnl,max_dd,worst_1d,worst_5d,worst_20d,ttr_median,ttr_p90,ttr_max,n_days
reports/bfsp/uk/greyhound/win/track_baskets/basket_ALL_UK_10_20_daily.parquet,basket_ALL_UK_10_20,2018,1600.7501449998852,-565.9148149058949,-112.30912410549936,-288.68835906638026,-479.39632827066606,22.0,87.40000000000003,119.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_ALL_UK_10_20_daily.parquet,basket_ALL_UK_10_20,2019,215.17092427931956,-611.9991324717981,-109.75842604435564,-182.36743687705558,-283.53416919439167,66.0,154.0,176.0,364
reports/bfsp/uk/greyhound/win/track_baskets/basket_ALL_UK_10_20_daily.parquet,basket_ALL_UK_10_20,2020,1270.1002049683025,-417.240355263393,-128.33375740227893,-203.73055476541285,-377.0903477225919,7.0,22.0,39.0,297
reports/bfsp/uk/greyhound/win/track_baskets/basket_ALL_UK_10_20_daily.parquet,basket_ALL_UK_10_20,2021,764.3608954391062,-549.8638871682263,-138.80849135715835,-242.93794139322551,-403.48964678432174,7.0,28.099999999999994,45.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_ALL_UK_10_20_daily.parquet,basket_ALL_UK_10_20,2022,-137.00062420723845,-1157.341593601555,-140.15728129533358,-306.08496816905404,-557.735239970063,44.5,104.9,120.0,359
reports/bfsp/uk/greyhound/win/track_baskets/basket_ALL_UK_10_20_daily.parquet,basket_ALL_UK_10_20,2023,141.0323481668663,-698.6257089699998,-109.39730555,-245.60587814000013,-324.01027342000003,6.0,29.9,36.0,364
reports/bfsp/uk/greyhound/win/track_baskets/basket_ALL_UK_10_20_daily.parquet,basket_ALL_UK_10_20,2024,500.9628334700001,-774.0229886799998,-99.72389345,-309.54789205000003,-422.64930053999996,16.0,56.599999999999994,82.0,365
reports/bfsp/uk/greyhound/win/track_baskets/basket_ALL_UK_10_20_daily.parquet,basket_ALL_UK_10_20,2025,44.87868359999999,-780.5816760799997,-94.49012572999999,-242.25536949000002,-586.84088754,10.0,34.0,48.0,227
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_PNL_daily.parquet,basket_TOP10_BY_POST_PNL,2018,585.8317260208705,-325.6604778006057,-74.0,-117.18381404539629,-202.02629285703551,30.0,100.40000000000003,132.0,362
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_PNL_daily.parquet,basket_TOP10_BY_POST_PNL,2019,1193.4657629382648,-156.0811407122299,-55.0,-114.06283027204108,-156.08114071222988,8.0,35.0,62.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_PNL_daily.parquet,basket_TOP10_BY_POST_PNL,2020,696.8121058544963,-160.48612580178394,-44.614981309,-98.70015663013926,-121.93526393962735,10.0,27.0,39.0,296
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_PNL_daily.parquet,basket_TOP10_BY_POST_PNL,2021,1136.7087989579409,-425.0570873403667,-58.5,-134.4895201435964,-228.7815523246389,4.0,12.099999999999994,19.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_PNL_daily.parquet,basket_TOP10_BY_POST_PNL,2022,1277.2373554089331,-363.2306143980355,-81.79091828672438,-158.60641852197122,-246.07310076321568,17.0,89.30000000000001,119.0,357
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_PNL_daily.parquet,basket_TOP10_BY_POST_PNL,2023,1393.5938781060981,-197.35064844000001,-55.75663952,-124.22162228000003,-181.57702334000004,8.0,43.80000000000001,62.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_PNL_daily.parquet,basket_TOP10_BY_POST_PNL,2024,372.54796997000005,-348.55270158999997,-66.0,-142.99693594999997,-276.99090444,31.0,94.30000000000001,118.0,365
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_PNL_daily.parquet,basket_TOP10_BY_POST_PNL,2025,767.44355486,-279.00347322,-61.24126512,-120.82504156999998,-244.8033592,8.0,49.0,63.0,227
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_RATIO_daily.parquet,basket_TOP10_BY_POST_RATIO,2018,585.8317260208705,-325.6604778006057,-74.0,-117.18381404539629,-202.02629285703551,30.0,100.40000000000003,132.0,362
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_RATIO_daily.parquet,basket_TOP10_BY_POST_RATIO,2019,1193.4657629382648,-156.0811407122299,-55.0,-114.06283027204108,-156.08114071222988,8.0,35.0,62.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_RATIO_daily.parquet,basket_TOP10_BY_POST_RATIO,2020,696.8121058544963,-160.48612580178394,-44.614981309,-98.70015663013926,-121.93526393962735,10.0,27.0,39.0,296
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_RATIO_daily.parquet,basket_TOP10_BY_POST_RATIO,2021,1136.7087989579409,-425.0570873403667,-58.5,-134.4895201435964,-228.7815523246389,4.0,12.099999999999994,19.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_RATIO_daily.parquet,basket_TOP10_BY_POST_RATIO,2022,1277.2373554089331,-363.2306143980355,-81.79091828672438,-158.60641852197122,-246.07310076321568,17.0,89.30000000000001,119.0,357
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_RATIO_daily.parquet,basket_TOP10_BY_POST_RATIO,2023,1393.5938781060981,-197.35064844000001,-55.75663952,-124.22162228000003,-181.57702334000004,8.0,43.80000000000001,62.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_RATIO_daily.parquet,basket_TOP10_BY_POST_RATIO,2024,372.54796997000005,-348.55270158999997,-66.0,-142.99693594999997,-276.99090444,31.0,94.30000000000001,118.0,365
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_RATIO_daily.parquet,basket_TOP10_BY_POST_RATIO,2025,767.44355486,-279.00347322,-61.24126512,-120.82504156999998,-244.8033592,8.0,49.0,63.0,227
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_PNL_daily.parquet,basket_TOP15_BY_POST_PNL,2018,424.69473983533004,-342.68521803168284,-84.5,-123.5325712529681,-192.31515077056574,32.0,149.60000000000002,183.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_PNL_daily.parquet,basket_TOP15_BY_POST_PNL,2019,613.9394047129886,-278.3175191301544,-84.5,-193.57880334696503,-230.93097666634733,22.5,66.10000000000002,93.0,364
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_PNL_daily.parquet,basket_TOP15_BY_POST_PNL,2020,1235.2547174545177,-229.5875072734384,-78.33375740227893,-137.93361910646283,-178.94821837980066,9.0,25.0,39.0,296
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_PNL_daily.parquet,basket_TOP15_BY_POST_PNL,2021,267.7974981687405,-848.6471014454837,-83.87578065232213,-231.03768746092703,-353.78816589808173,6.0,18.0,25.0,363
