track,all_bets,all_pnl,all_max_dd,all_worst20,pre_bets,pre_pnl,pre_max_dd,pre_worst20,post_bets,post_pnl,post_max_dd,post_worst20,survived_post
Romford,19212.0,1093.0852601961933,-247.81455317235728,-192.54648971956408,3818.0,30.068324615411,-247.81455317235728,-192.54648971956408,15394.0,1063.0169355807825,-185.19929972,-154.81819191,1
Towcester,14127.0,1144.3983055421786,-341.33048748,-111.82963659000006,2325.0,254.9121840781214,-92.94322216775655,-91.30410892828488,11802.0,889.4861214640572,-341.33048748,-111.82963659000006,1
Yarmouth,9658.0,581.4987742213443,-217.04462122659794,-133.64588267717238,1665.0,-47.058016933444776,-145.9053342883114,-127.94443985654796,7993.0,628.5567911547892,-217.04462122659788,-133.64588267717235,1
Hove,28985.0,894.5698295872853,-431.82932272335034,-199.5126540647451,15811.0,514.4306977520336,-412.0666577037003,-133.80377589207401,13174.0,380.1391318352519,-259.77235892405747,-199.51265406474513,1
Suffolk Downs,5390.0,310.42921485441775,-162.45091642603956,-98.1862254,,,,,5390.0,310.42921485441775,-162.45091642603956,-98.1862254,1
Swindon,13859.0,349.8154371480028,-455.03505702135175,-155.0065333327831,2845.0,129.3572551572906,-202.83740432560398,-155.0065333327831,11014.0,220.45818199071215,-382.05771379933975,-121.08177641769458,1
Harlow,14985.0,268.1820537764128,-632.3110695599994,-153.25430489000007,2608.0,155.78539533986142,-135.12448870106454,-113.99725796040772,12377.0,112.39665843655155,-632.3110695599996,-153.25430489000001,1
Shelbourne Park,543.0,140.308092227275,-40.318225355347536,21.915027763069766,136.0,41.97337570048998,-17.0,41.97337570048998,407.0,98.334716526785,-40.318225355347536,55.837574960771406,1
Pelaw Grange,2192.0,79.36635148169883,-142.97132718,-83.27453024,527.0,-13.496406777582088,-84.0,-56.62888472058802,1665.0,92.86275825928092,-142.97132718,-83.27453024,1
Clonmel,163.0,69.76763858,-13.675086900000004,69.76763858,,,,,163.0,69.76763858,-13.675086900000004,69.76763858,1
Youghal,71.0,62.542438452097,-19.0,62.542438452097,12.0,-1.7111925277957916,0.0,-1.7111925277957916,59.0,64.25363097989279,-19.0,64.25363097989279,1
Mullingar,1827.0,66.11396365860249,-118.09798029100259,-109.12740467987335,300.0,13.75533821041406,-37.357832871274255,13.755338210414056,1527.0,52.35862544818844,-104.1617153817097,-74.9121328,1
Star Pelaw,709.0,49.79067744999999,-95.11585211,-70.85651955,,,,,709.0,49.79067744999999,-95.11585211,-70.85651955,1
Shelbourne,212.0,7.89485542563339,-31.0,7.89485542563339,52.0,-28.924894954366614,-19.924894954366614,-28.924894954366614,160.0,36.81975038,-31.0,36.81975038,1
Lifford,41.0,30.48151704,0.0,30.48151704,,,,,41.0,30.48151704,0.0,30.48151704,1
Limerick,83.0,1.4404617094241292,-22.828025019470246,1.4404617094241292,36.0,-24.828025019470246,-9.828025019470246,-24.828025019470246,47.0,26.268486728894374,0.0,26.268486728894374,1
Cork 18,18.0,22.987508280999997,0.0,22.987508280999997,,,,,18.0,22.987508280999997,0.0,22.987508280999997,1
Mullingar June,11.0,11.827661871,0.0,11.827661871,,,,,11.0,11.827661871,0.0,11.827661871,1
Shelbourn Park,14.0,4.557850031000001,0.0,4.557850031000001,,,,,14.0,4.557850031000001,0.0,4.557850031000001,1
Murray Bridge,18.0,4.416238516233417,-9.0,4.416238516233417,,,,,18.0,4.416238516233417,-9.0,4.416238516233417,1
Dundalk Dogs,18.0,3.5,0.0,3.5,,,,,18.0,3.5,0.0,3.5,1
Limerick DG,13.0,3.5,0.0,3.5,,,,,13.0,3.5,0.0,3.5,1
Tralee Dogs,58.0,1.56873226586994,-43.0,1.56873226586994,,,,,58.0,1.56873226586994,-43.0,1.56873226586994,1
Sheff,10792.0,-451.98237586138316,-770.8214414155566,-184.38176211284696,10791.0,-450.98237586138316,-770.8214414155566,-184.38176211284696,1.0,-1.0,0.0,-1.0,0
Romford19th,15.0,-4.467215431872974,0.0,-4.467215431872974,,,,,15.0,-4.467215431872974,0.0,-4.467215431872974,0
Henlow,5779.0,105.55366994262603,-225.92782148903947,-115.68801853527845,2923.0,112.41871794820851,-132.08469288536338,-102.63095261221488,2856.0,-6.86504800558248,-225.92782148903953,-115.68801853527847,0
Mullingar 20,7.0,-7.0,0.0,-7.0,,,,,7.0,-7.0,0.0,-7.0,0
Cork,94.0,-17.132949369402624,-32.0,-17.132949369402624,61.0,-9.268281841562501,-32.0,-9.268281841562501,33.0,-7.864667527840124,0.0,-7.864667527840124,0
Waterford,8.0,-8.0,0.0,-8.0,,,,,8.0,-8.0,0.0,-8.0,0
Shelbourne Park 30,12.0,-12.0,0.0,-12.0,,,,,12.0,-12.0,0.0,-12.0,0
The Valley,14.0,-14.0,0.0,-14.0,,,,,14.0,-14.0,0.0,-14.0,0
Mullingar Sun,28.0,-15.5,0.0,-15.5,,,,,28.0,-15.5,0.0,-15.5,0
Tralee,38.0,-38.0,-24.0,-38.0,14.0,-14.0,0.0,-14.0,24.0,-24.0,-10.0,-24.0,0
Shelbourne July,38.0,-38.0,-17.0,-38.0,,,,,38.0,-38.0,-17.0,-38.0,0
Newcastle,16591.0,-484.8723875709852,-833.2954354909853,-159.35271517063663,3162.0,-430.1610120009581,-474.4427286910772,-159.35271517063663,13429.0,-54.711375570027144,-400.13442349002725,-136.3584559550548,0
Kinsley,10725.0,-100.80508527188724,-340.31239073000006,-133.52483152000002,1677.0,-44.4292630892431,-140.63873235602753,-124.80834108574163,9048.0,-56.37582218264416,-340.31239072999995,-133.52483152,0
Central Park,13576.0,-305.9955234168893,-573.249414266631,-192.64926682000004,3118.0,-192.03714396918804,-299.17532483535484,-135.84423466999996,10458.0,-113.95837944770116,-420.1554517575806,-192.64926681999998,0
Sheffield,13440.0,-364.7575773587955,-727.6506515912158,-117.64023235999997,2707.0,-241.17253069958275,-264.3176320800463,-96.41194804323389,10733.0,-123.58504665921282,-512.460698949421,-117.64023236,0
Doncaster,13437.0,-255.66440184301896,-382.69377032639017,-196.60141895585764,2561.0,-117.9306887060833,-237.15782505079815,-112.60166101136588,10876.0,-137.7337131369357,-276.7409824643844,-196.60141895585767,0
Valley,2855.0,-139.55772508,-226.52728352,-150.95604092000002,,,,,2855.0,-139.55772508,-226.52728352,-150.95604092000002,0
Nottingham,13000.0,-335.7717498459036,-705.6400952745435,-191.06772757926262,2214.0,-154.1783846994055,-260.07200324079565,-131.96525732224393,10786.0,-181.59336514649806,-497.4960818753578,-191.0677275792626,0
Crayford,13729.0,-273.63275072318464,-733.5491284718532,-159.71233865944532,3244.0,14.308895299187398,-242.14484804779332,-146.30520961235823,10485.0,-287.9416460223721,-733.5491284718534,-159.71233865944532,0
Perry Barr,12129.0,14.617115663349722,-461.17110506673095,-157.93706178999997,2296.0,455.79775979355827,-67.71276689122169,-36.705980888803026,9833.0,-441.18064413020863,-461.171105066731,-157.93706179000003,0
Monmore,19986.0,-288.33030391465593,-830.17719835,-180.48142538999997,3730.0,191.97649421100087,-114.92014003977457,-90.26192628995997,16256.0,-480.3067981256567,-830.1771983499998,-180.48142539,0
Oxford,7488.0,-558.8351670866654,-612.0205968566656,-130.0497957,,,,,7488.0,-558.8351670866654,-612.0205968566656,-130.0497957,0
Sunderland,13875.0,-579.1121610450946,-1000.5966161375203,-179.1234849635707,2509.0,319.31681204676704,-179.1234849635707,-179.1234849635707,11366.0,-898.4289730918617,-1000.5966161375206,-148.63145204727186,0
Harl,10133.0,1136.1060404876948,-195.16825878100923,-151.72474040451925,10133.0,1136.1060404876948,-195.16825878100923,-151.72474040451925,,,,,0
Crayfd,14064.0,1048.6142567703846,-244.12003285538208,-130.4537803332322,14064.0,1048.6142567703846,-244.12003285538208,-130.4537803332322,,,,,0
Romfd,14591.0,936.9504241994621,-341.4437273507557,-184.38878877974196,14591.0,936.9504241994621,-341.4437273507557,-184.38878877974196,,,,,0
Swin,7792.0,502.00715764231006,-222.57469143296424,-178.90035981365364,7792.0,502.00715764231006,-222.57469143296424,-178.90035981365364,,,,,0
Kinsl,6373.0,261.63453429429904,-227.51310757862078,-130.50101749222443,6373.0,261.63453429429904,-227.51310757862078,-130.50101749222443,,,,,0
Towc,2396.0,197.0017124582182,-106.10302680585534,-87.89913655788976,2396.0,197.0017124582182,-106.10302680585534,-87.89913655788976,,,,,0
Sund,9970.0,140.85412708232008,-253.37306693588803,-149.43980343240054,9970.0,140.85412708232008,-253.37306693588803,-149.43980343240054,,,,,0
Henl,14594.0,117.03129712450337,-395.3656926094577,-123.07837152476176,14594.0,117.03129712450337,-395.3656926094577,-123.07837152476176,,,,,0
PGran,1589.0,104.36214715387612,-123.68134637289046,-95.5415914329162,1589.0,104.36214715387612,-123.68134637289046,-95.5415914329162,,,,,0
Shelb,339.0,61.429969156542256,-42.7666388973195,59.011334584053536,339.0,61.429969156542256,-42.7666388973195,59.011334584053536,,,,,0
Newc,10923.0,53.49193622331401,-312.2292408398418,-145.7462973770003,10923.0,53.49193622331401,-312.2292408398418,-145.7462973770003,,,,,0
Shawf,43.0,38.03192203163867,0.0,38.03192203163867,43.0,38.03192203163867,0.0,38.03192203163867,,,,,0
PBarr,9335.0,31.8168815927865,-369.5507668132951,-159.05502023791547,9335.0,31.8168815927865,-369.5507668132951,-159.05502023791547,,,,,0
Geel (Aus),15.0,25.919489169519917,0.0,25.919489169519917,15.0,25.919489169519917,0.0,25.919489169519917,,,,,0
Pboro,1800.0,23.0385046867247,-177.29756888055823,-140.23841592112677,1800.0,23.0385046867247,-177.29756888055823,-140.23841592112677,,,,,0
CPark,13146.0,21.999040149775993,-399.9011218039926,-141.4290578232974,13146.0,21.999040149775993,-399.9011218039926,-141.4290578232974,,,,,0
Tral,12.0,15.428872202383607,0.0,15.428872202383607,12.0,15.428872202383607,0.0,15.428872202383607,,,,,0
Geel (AU),23.0,15.127153049198098,0.0,15.127153049198098,23.0,15.127153049198098,0.0,15.127153049198098,,,,,0
Ipsw (AUS,17.0,14.304031807303279,0.0,14.304031807303279,17.0,14.304031807303279,0.0,14.304031807303279,,,,,0
WPrk (Aus),16.0,12.5,0.0,12.5,16.0,12.5,0.0,12.5,,,,,0
BVue,3935.0,10.941947168507909,-226.00540559913554,-122.95833168894657,3935.0,10.941947168507909,-226.00540559913554,-122.95833168894657,,,,,0
Laun (AUS,13.0,9.652592926344951,0.0,9.652592926344951,13.0,9.652592926344951,0.0,9.652592926344951,,,,,0
Cann (Aus),20.0,9.0,0.0,9.0,20.0,9.0,0.0,9.0,,,,,0
Crayf,19.0,7.873614913728083,0.0,7.873614913728083,19.0,7.873614913728083,0.0,7.873614913728083,,,,,0
Mead (Aus),51.0,3.147321359133347,0.0,3.147321359133347,51.0,3.147321359133347,0.0,3.147321359133347,,,,,0
Poole,3562.0,3.065287327031143,-217.4705767457782,-108.1228611257844,3562.0,3.065287327031143,-217.4705767457782,-108.1228611257844,,,,,0
Warr (AU),11.0,-0.09539236817508723,0.0,-0.09539236817508723,11.0,-0.09539236817508723,0.0,-0.09539236817508723,,,,,0
Shep (Aus),24.0,-2.195658197784798,0.0,-2.195658197784798,24.0,-2.195658197784798,0.0,-2.195658197784798,,,,,0
Casi (Aus),17.0,-3.0,-2.0,-3.0,17.0,-3.0,-2.0,-3.0,,,,,0
SPrk (AUS,15.0,-4.928810842129462,0.0,-4.928810842129462,15.0,-4.928810842129462,0.0,-4.928810842129462,,,,,0
Bend AUS),18.0,-6.5,0.0,-6.5,18.0,-6.5,0.0,-6.5,,,,,0
Mait (Aus),7.0,-7.0,0.0,-7.0,7.0,-7.0,0.0,-7.0,,,,,0
Sheff jul,21.0,-8.29069942544214,0.0,-8.29069942544214,21.0,-8.29069942544214,0.0,-8.29069942544214,,,,,0
Cpark,9.0,-9.0,0.0,-9.0,9.0,-9.0,0.0,-9.0,,,,,0
Warr (Aus),11.0,-11.0,0.0,-11.0,11.0,-11.0,0.0,-11.0,,,,,0
Rich (AUS,15.0,-15.0,0.0,-15.0,15.0,-15.0,0.0,-15.0,,,,,0
WPrk (AUS,15.0,-15.0,0.0,-15.0,15.0,-15.0,0.0,-15.0,,,,,0
Shawfield,35.0,-18.71044958,-12.0,-18.71044958,35.0,-18.71044958,-12.0,-18.71044958,,,,,0
Cran (AUs),28.0,-28.0,0.0,-28.0,28.0,-28.0,0.0,-28.0,,,,,0
Ipsw (Aus),41.0,-41.0,-28.0,-41.0,41.0,-41.0,-28.0,-41.0,,,,,0
Yarm,4548.0,-128.78970208547963,-171.18871421938087,-121.39730629434007,4548.0,-128.78970208547963,-171.18871421938087,-121.39730629434007,,,,,0
Nott,8438.0,-308.0864863117933,-492.53075709978157,-175.30486948176426,8438.0,-308.0864863117933,-492.53075709978157,-175.30486948176426,,,,,0
Monm,14373.0,-391.4626338202441,-786.6278623159611,-173.75388411057256,14373.0,-391.4626338202441,-786.6278623159611,-173.75388411057256,,,,,0
Donc,9455.0,-420.32764094683404,-480.20682248231566,-143.73914955454154,9455.0,-420.32764094683404,-480.20682248231566,-143.73914955454154,,,,,0
