track,all_bets,all_pnl,all_max_dd,all_worst20,pre_bets,pre_pnl,pre_max_dd,pre_worst20,post_bets,post_pnl,post_max_dd,post_worst20,survived_post,post_profit_dd_ratio,all_profit_dd_ratio
Romford,33803.0,2030.0356843956556,-341.4437273507557,-192.54648971956408,18409.0,967.0187488148731,-341.4437273507557,-192.54648971956408,15394.0,1063.0169355807825,-185.19929972,-154.81819191,1,5.739853969145356,5.945447292725504
Towcester,14127.0,1144.3983055421786,-341.33048748,-111.82963659000006,2325.0,254.9121840781214,-92.94322216775655,-91.30410892828488,11802.0,889.4861214640572,-341.33048748,-111.82963659000006,1,2.605938098383831,3.352757364251659
Yarmouth,9658.0,581.4987742213443,-217.04462122659794,-133.64588267717238,1665.0,-47.058016933444776,-145.9053342883114,-127.94443985654796,7993.0,628.5567911547892,-217.04462122659788,-133.64588267717235,1,2.8959795806161273,2.6791669424244824
Hove,28985.0,894.5698295872853,-431.82932272335034,-199.5126540647451,15811.0,514.4306977520336,-412.0666577037003,-133.80377589207401,13174.0,380.1391318352519,-259.77235892405747,-199.51265406474513,1,1.4633548134595133,2.071581948038271
Suffolk Downs,5390.0,310.42921485441775,-162.45091642603956,-98.1862254,,,,,5390.0,310.42921485441775,-162.45091642603956,-98.1862254,1,1.9109108257677916,1.9109108257677916
Swindon,21651.0,851.8225947903129,-455.0350570213515,-178.90035981365364,10637.0,631.3644127996008,-222.57469143296424,-178.90035981365364,11014.0,220.45818199071215,-382.05771379933975,-121.08177641769458,1,0.577028480326663,1.8719933368789714
Harlow,25118.0,1404.2880942641077,-632.3110695600001,-153.25430489000018,12741.0,1291.8914358275563,-195.16825878100923,-151.72474040451925,12377.0,112.39665843655155,-632.3110695599996,-153.25430489000001,1,0.17775532304813824,2.220881717666742
Shelbourne Park,543.0,140.308092227275,-40.318225355347536,21.915027763069766,136.0,41.97337570048998,-17.0,41.97337570048998,407.0,98.334716526785,-40.318225355347536,55.837574960771406,1,2.4389644053056654,3.4800165679580313
Pelaw Grange,2192.0,79.36635148169883,-142.97132718,-83.27453024,527.0,-13.496406777582088,-84.0,-56.62888472058802,1665.0,92.86275825928092,-142.97132718,-83.27453024,1,0.649520152683253,0.5551207577570927
Clonmel,163.0,69.76763858,-13.675086900000004,69.76763858,,,,,163.0,69.76763858,-13.675086900000004,69.76763858,1,5.101805867134927,5.101805867134927
Youghal,71.0,62.542438452097,-19.0,62.542438452097,12.0,-1.7111925277957916,0.0,-1.7111925277957916,59.0,64.25363097989279,-19.0,64.25363097989279,1,3.3817700515733047,3.291707286952474
Mullingar,1851.0,77.4416255296025,-118.09798029100259,-109.12740467987335,300.0,13.75533821041406,-37.357832871274255,13.755338210414056,1551.0,63.68628731918844,-104.16171538170974,-74.91213280000002,1,0.6114174203622171,0.6557404736201273
Star Pelaw,709.0,49.79067744999999,-95.11585211,-70.85651955,,,,,709.0,49.79067744999999,-95.11585211,-70.85651955,1,0.523474019792388,0.523474019792388
Lifford,41.0,30.48151704,0.0,30.48151704,,,,,41.0,30.48151704,0.0,30.48151704,1,,
Limerick,83.0,1.4404617094241292,-22.828025019470246,1.4404617094241292,36.0,-24.828025019470246,-9.828025019470246,-24.828025019470246,47.0,26.268486728894374,0.0,26.268486728894374,1,,0.06310058396184275
Cork 18 Mar,18.0,22.987508280999997,0.0,22.987508280999997,,,,,18.0,22.987508280999997,0.0,22.987508280999997,1,,
Shelbourn Park,14.0,4.557850031000001,0.0,4.557850031000001,,,,,14.0,4.557850031000001,0.0,4.557850031000001,1,,
Murray Bridge,18.0,4.416238516233417,-9.0,4.416238516233417,,,,,18.0,4.416238516233417,-9.0,4.416238516233417,1,0.49069316847037964,0.49069316847037964
Dundalk Dogs,18.0,3.5,0.0,3.5,,,,,18.0,3.5,0.0,3.5,1,,
Limerick Dg,13.0,3.5,0.0,3.5,,,,,13.0,3.5,0.0,3.5,1,,
Tralee Dogs,58.0,1.56873226586994,-43.0,1.56873226586994,,,,,58.0,1.56873226586994,-43.0,1.56873226586994,1,0.03648214571790558,0.03648214571790558
Shelbourne,250.0,-30.105144574366605,-63.75909593436661,-30.105144574366605,52.0,-28.924894954366614,-19.924894954366614,-28.924894954366614,198.0,-1.1802496199999997,-31.0,-1.1802496199999997,0,-0.038072568387096765,-0.4721701920829733
Romford19Th Mar,15.0,-4.467215431872974,0.0,-4.467215431872974,,,,,15.0,-4.467215431872974,0.0,-4.467215431872974,0,,
Henlow,20373.0,222.58496706712924,-395.3656926094577,-123.07837152476176,17517.0,229.45001507271184,-395.3656926094577,-123.07837152476176,2856.0,-6.86504800558248,-225.92782148903953,-115.68801853527847,0,-0.03038602311276447,0.5629850319031062
Mullingar 20 Mar,7.0,-7.0,0.0,-7.0,,,,,7.0,-7.0,0.0,-7.0,0,,
Cork,94.0,-17.132949369402624,-32.0,-17.132949369402624,61.0,-9.268281841562501,-32.0,-9.268281841562501,33.0,-7.864667527840124,0.0,-7.864667527840124,0,,-0.535404667793832
Waterford,8.0,-8.0,0.0,-8.0,,,,,8.0,-8.0,0.0,-8.0,0,,
Shelbourne Park 30 Jul,12.0,-12.0,0.0,-12.0,,,,,12.0,-12.0,0.0,-12.0,0,,
The Valley,14.0,-14.0,0.0,-14.0,,,,,14.0,-14.0,0.0,-14.0,0,,
Mullingar 23Rd,15.0,-15.0,0.0,-15.0,,,,,15.0,-15.0,0.0,-15.0,0,,
Tralee,38.0,-38.0,-24.0,-38.0,14.0,-14.0,0.0,-14.0,24.0,-24.0,-10.0,-24.0,0,-2.4,-1.5833333333333333
Newcastle,27514.0,-431.3804513476713,-881.437644382683,-159.35271517063663,14085.0,-376.6690757776442,-522.5849375827751,-159.35271517063663,13429.0,-54.711375570027144,-400.13442349002725,-136.3584559550548,0,-0.13673248877921332,-0.48940552300757434
Kinsley,10725.0,-100.80508527188724,-340.31239073000006,-133.52483152000002,1677.0,-44.4292630892431,-140.63873235602753,-124.80834108574163,9048.0,-56.37582218264416,-340.31239072999995,-133.52483152,0,-0.16565903481125993,-0.2962133851654694
Central Park,26731.0,-292.9964832671131,-692.481012393006,-192.64926682000004,16273.0,-179.038103819412,-418.4069229617299,-141.4290578232974,10458.0,-113.95837944770116,-420.1554517575806,-192.64926681999998,0,-0.27122908668921036,-0.4231112160817311
Sheffield,24253.0,-825.0306526456209,-1458.19696131626,-184.38176211284696,13519.0,-700.4456059864082,-993.86394180509,-184.38176211284696,10734.0,-124.58504665921282,-513.460698949421,-117.64023236,0,-0.24263794076961126,-0.5657882127945847
Doncaster,13437.0,-255.66440184301896,-382.69377032639017,-196.60141895585764,2561.0,-117.9306887060833,-237.15782505079815,-112.60166101136588,10876.0,-137.7337131369357,-276.7409824643844,-196.60141895585767,0,-0.49769901049860427,-0.6680652303928779
