event_date,pnl,n_bets,equity,month,rule_top_tracks,rule_worst_band,equity_global
2022-01-01,34.99720188850678,30,34.99720188850678,2022-01,"Harlow,Romford,Swindon",10-12,34.99720188850678
2022-01-02,3.0,22,37.99720188850678,2022-01,"Harlow,Romford,Swindon",10-12,37.99720188850678
2022-01-03,-4.0,40,33.99720188850678,2022-01,"Harlow,Romford,Swindon",10-12,33.99720188850678
2022-01-04,17.0,18,50.99720188850678,2022-01,"Harlow,Romford,Swindon",10-12,50.99720188850678
2022-01-05,-68.0,68,-17.00279811149322,2022-01,"Harlow,Romford,Swindon",10-12,-17.00279811149322
2022-01-06,14.69412713070632,48,-2.3086709807869,2022-01,"Harlow,Romford,Swindon",10-12,-2.3086709807869
2022-01-07,30.78219189422263,90,28.47352091343573,2022-01,"Harlow,Romford,Swindon",10-12,28.47352091343573
2022-01-08,-72.0,72,-43.526479086564265,2022-01,"Harlow,Romford,Swindon",10-12,-43.526479086564265
2022-01-09,-42.0,42,-85.52647908656427,2022-01,"Harlow,Romford,Swindon",10-12,-85.52647908656427
2022-01-10,63.89871743496275,52,-21.627761651601517,2022-01,"Harlow,Romford,Swindon",10-12,-21.627761651601517
2022-01-11,17.35041261636303,18,-4.277349035238487,2022-01,"Harlow,Romford,Swindon",10-12,-4.277349035238487
2022-01-12,7.0,48,2.722650964761513,2022-01,"Harlow,Romford,Swindon",10-12,2.722650964761513
2022-01-13,19.0,36,21.722650964761513,2022-01,"Harlow,Romford,Swindon",10-12,21.722650964761513
2022-01-14,1.8549985142092993,56,23.577649478970812,2022-01,"Harlow,Romford,Swindon",10-12,23.577649478970812
2022-01-15,-46.0,46,-22.422350521029188,2022-01,"Harlow,Romford,Swindon",10-12,-22.422350521029188
2022-01-16,-28.0,28,-50.42235052102919,2022-01,"Harlow,Romford,Swindon",10-12,-50.42235052102919
2022-01-17,-5.595605503420007,30,-56.01795602444919,2022-01,"Harlow,Romford,Swindon",10-12,-56.01795602444919
2022-01-19,16.0,42,-40.01795602444919,2022-01,"Harlow,Romford,Swindon",10-12,-40.01795602444919
2022-01-20,58.997899416289656,26,18.979943391840465,2022-01,"Harlow,Romford,Swindon",10-12,18.979943391840465
2022-01-21,-47.0,76,-28.020056608159535,2022-01,"Harlow,Romford,Swindon",10-12,-28.020056608159535
2022-01-22,-26.906625773776323,56,-54.92668238193586,2022-01,"Harlow,Romford,Swindon",10-12,-54.92668238193586
2022-01-23,23.0,40,-31.926682381935862,2022-01,"Harlow,Romford,Swindon",10-12,-31.926682381935862
2022-01-24,45.199807395684466,44,13.273125013748604,2022-01,"Harlow,Romford,Swindon",10-12,13.273125013748604
2022-01-25,3.479828384000001,26,16.752953397748605,2022-01,"Harlow,Romford,Swindon",10-12,16.752953397748605
2022-01-26,-26.94474172716903,52,-10.191788329420426,2022-01,"Harlow,Romford,Swindon",10-12,-10.191788329420426
2022-01-27,34.86158797165722,38,24.669799642236796,2022-01,"Harlow,Romford,Swindon",10-12,24.669799642236796
2022-01-28,-48.0,72,-23.330200357763204,2022-01,"Harlow,Romford,Swindon",10-12,-23.330200357763204
2022-01-29,-36.312762257192546,62,-59.64296261495575,2022-01,"Harlow,Romford,Swindon",10-12,-59.64296261495575
2022-01-30,-46.0,46,-105.64296261495575,2022-01,"Harlow,Romford,Swindon",10-12,-105.64296261495575
2022-01-31,-1.0,36,-106.64296261495575,2022-01,"Harlow,Romford,Swindon",10-12,-106.64296261495575
2022-02-01,-30.0,30,-30.0,2022-02,"Harlow,Romford,Swindon",12-15,-136.64296261495576
2022-02-02,95.38702249130118,52,65.38702249130118,2022-02,"Harlow,Romford,Swindon",12-15,-41.25594012365458
2022-02-03,58.20183874166076,38,123.58886123296193,2022-02,"Harlow,Romford,Swindon",12-15,16.945898618006176
2022-02-04,-6.0,64,117.58886123296193,2022-02,"Harlow,Romford,Swindon",12-15,10.945898618006176
2022-02-05,7.215431219999999,60,124.80429245296193,2022-02,"Harlow,Romford,Swindon",12-15,18.161329838006175
2022-02-06,-36.0,36,88.80429245296193,2022-02,"Harlow,Romford,Swindon",12-15,-17.838670161993825
2022-02-07,46.7236492728436,32,135.52794172580553,2022-02,"Harlow,Romford,Swindon",12-15,28.884979110849777
2022-02-08,-30.0,30,105.52794172580553,2022-02,"Harlow,Romford,Swindon",12-15,-1.1150208891502231
2022-02-09,34.280575542766606,46,139.80851726857213,2022-02,"Harlow,Romford,Swindon",12-15,33.16555465361638
2022-02-10,-18.38702685250657,42,121.42149041606557,2022-02,"Harlow,Romford,Swindon",12-15,14.778527801109814
2022-02-11,-19.642600334,64,101.77889008206557,2022-02,"Harlow,Romford,Swindon",12-15,-4.864072532890187
2022-02-12,-39.0,62,62.77889008206557,2022-02,"Harlow,Romford,Swindon",12-15,-43.86407253289019
2022-02-13,-13.633639052602799,34,49.14525102946277,2022-02,"Harlow,Romford,Swindon",12-15,-57.49771158549299
2022-02-14,-10.0,42,39.14525102946277,2022-02,"Harlow,Romford,Swindon",12-15,-67.497711585493
2022-02-15,29.0,28,68.14525102946277,2022-02,"Harlow,Romford,Swindon",12-15,-38.49771158549299
2022-02-16,5.6135727210156645,54,73.75882375047843,2022-02,"Harlow,Romford,Swindon",12-15,-32.88413886447733
2022-02-17,-16.0,46,57.75882375047843,2022-02,"Harlow,Romford,Swindon",12-15,-48.88413886447733
2022-02-19,43.18448779314956,40,100.94331154362798,2022-02,"Harlow,Romford,Swindon",12-15,-5.6996510713277715
2022-02-20,16.0,28,116.94331154362798,2022-02,"Harlow,Romford,Swindon",12-15,10.300348928672229
2022-02-21,31.521129054779166,50,148.46444059840715,2022-02,"Harlow,Romford,Swindon",12-15,41.821477983451395
2022-02-22,-28.0,28,120.46444059840715,2022-02,"Harlow,Romford,Swindon",12-15,13.821477983451395
2022-02-23,3.132568029445384,38,123.59700862785253,2022-02,"Harlow,Romford,Swindon",12-15,16.95404601289678
2022-02-24,-6.598499790593635,28,116.9985088372589,2022-02,"Harlow,Romford,Swindon",12-15,10.355546222303143
2022-02-25,-1.0951826117574122,66,115.90332622550149,2022-02,"Harlow,Romford,Swindon",12-15,9.260363610545731
2022-02-26,36.456794703053674,58,152.36012092855515,2022-02,"Harlow,Romford,Swindon",12-15,45.717158313599406
2022-02-27,14.475988021763047,50,166.8361089503182,2022-02,"Harlow,Romford,Swindon",12-15,60.19314633536246
2022-02-28,-16.00202644684085,58,150.83408250347733,2022-02,"Harlow,Romford,Swindon",12-15,44.191119888521605
2022-03-01,5.0,16,5.0,2022-03,"Harlow,Romford,Swindon",12-15,49.191119888521605
2022-03-02,14.96237673982008,58,19.96237673982008,2022-03,"Harlow,Romford,Swindon",12-15,64.15349662834168
2022-03-03,29.590171248721887,46,49.55254798854197,2022-03,"Harlow,Romford,Swindon",12-15,93.74366787706357
2022-03-04,-36.0,74,13.552547988541967,2022-03,"Harlow,Romford,Swindon",12-15,57.74366787706357
2022-03-05,-37.0,58,-23.447452011458033,2022-03,"Harlow,Romford,Swindon",12-15,20.743667877063572
2022-03-06,-23.630126407773407,44,-47.07757841923144,2022-03,"Harlow,Romford,Swindon",12-15,-2.8864585307098345
2022-03-07,78.73887071402743,44,31.661292294795985,2022-03,"Harlow,Romford,Swindon",12-15,75.8524121833176
2022-03-08,-28.0,28,3.6612922947959845,2022-03,"Harlow,Romford,Swindon",12-15,47.8524121833176
2022-03-09,9.291466723280038,46,12.952759018076023,2022-03,"Harlow,Romford,Swindon",12-15,57.143878906597635
2022-03-10,-14.908942356428597,46,-1.9561833383525737,2022-03,"Harlow,Romford,Swindon",12-15,42.23493655016904
2022-03-11,-8.805679053432069,70,-10.761862391784643,2022-03,"Harlow,Romford,Swindon",12-15,33.429257496736966
2022-03-12,21.96201304579853,56,11.200150654013886,2022-03,"Harlow,Romford,Swindon",12-15,55.391270542535494
2022-03-13,0.9876392880000004,44,12.187789942013886,2022-03,"Harlow,Romford,Swindon",12-15,56.37890983053549
2022-03-14,-28.08347035568441,50,-15.895680413670522,2022-03,"Harlow,Romford,Swindon",12-15,28.295439474851083
2022-03-15,-14.0,14,-29.895680413670522,2022-03,"Harlow,Romford,Swindon",12-15,14.295439474851083
2022-03-16,-6.644439362,68,-36.54011977567052,2022-03,"Harlow,Romford,Swindon",12-15,7.651000112851083
2022-03-17,-44.0,44,-80.54011977567052,2022-03,"Harlow,Romford,Swindon",12-15,-36.34899988714892
