variant,train_mode,top_n,band_rule,min_train_bets,months,total_bets,total_pnl,max_dd,profit_dd_ratio,ttr_p90_days,ttr_max_days,worst_20d
mode=expanding|topN=5|band=none|minbets=200,expanding,5,none,200,50,134048,4551.6078529045935,-1133.4397070797122,4.015747661277663,29.59999999999998,248.0,-492.7005531100001
mode=expanding|topN=5|band=none|minbets=500,expanding,5,none,500,50,134048,4551.6078529045935,-1133.4397070797122,4.015747661277663,29.59999999999998,248.0,-492.7005531100001
mode=expanding|topN=5|band=none|minbets=1000,expanding,5,none,1000,50,134048,4551.6078529045935,-1133.4397070797122,4.015747661277663,29.59999999999998,248.0,-492.7005531100001
mode=expanding|topN=5|band=exclude_worst_if_negative|minbets=200,expanding,5,exclude_worst_if_negative,200,50,134048,4551.6078529045935,-1133.4397070797122,4.015747661277663,29.59999999999998,248.0,-492.7005531100001
mode=expanding|topN=5|band=exclude_worst_if_negative|minbets=500,expanding,5,exclude_worst_if_negative,500,50,134048,4551.6078529045935,-1133.4397070797122,4.015747661277663,29.59999999999998,248.0,-492.7005531100001
mode=expanding|topN=5|band=exclude_worst_if_negative|minbets=1000,expanding,5,exclude_worst_if_negative,1000,50,134048,4551.6078529045935,-1133.4397070797122,4.015747661277663,29.59999999999998,248.0,-492.7005531100001
mode=rolling_24m|topN=5|band=none|minbets=200,rolling_24m,5,none,200,50,117503,3260.681808854735,-955.8454591100008,3.4113064803287294,77.5,197.0,-470.95858905
mode=rolling_24m|topN=5|band=none|minbets=500,rolling_24m,5,none,500,50,117503,3260.681808854735,-955.8454591100008,3.4113064803287294,77.5,197.0,-470.95858905
mode=rolling_24m|topN=5|band=none|minbets=1000,rolling_24m,5,none,1000,50,117503,3260.681808854735,-955.8454591100008,3.4113064803287294,77.5,197.0,-470.95858905
mode=expanding|topN=3|band=none|minbets=200,expanding,3,none,200,50,83403,3052.0795828196296,-651.6814178200002,4.683392067598649,38.400000000000034,259.0,-463.1142331399999
mode=expanding|topN=3|band=none|minbets=500,expanding,3,none,500,50,83403,3052.0795828196296,-651.6814178200002,4.683392067598649,38.400000000000034,259.0,-463.1142331399999
mode=expanding|topN=3|band=none|minbets=1000,expanding,3,none,1000,50,83403,3052.0795828196296,-651.6814178200002,4.683392067598649,38.400000000000034,259.0,-463.1142331399999
mode=expanding|topN=3|band=exclude_worst_if_negative|minbets=200,expanding,3,exclude_worst_if_negative,200,50,83403,3052.0795828196296,-651.6814178200002,4.683392067598649,38.400000000000034,259.0,-463.1142331399999
mode=expanding|topN=3|band=exclude_worst_if_negative|minbets=500,expanding,3,exclude_worst_if_negative,500,50,83403,3052.0795828196296,-651.6814178200002,4.683392067598649,38.400000000000034,259.0,-463.1142331399999
mode=expanding|topN=3|band=exclude_worst_if_negative|minbets=1000,expanding,3,exclude_worst_if_negative,1000,50,83403,3052.0795828196296,-651.6814178200002,4.683392067598649,38.400000000000034,259.0,-463.1142331399999
mode=rolling_24m|topN=5|band=exclude_worst_if_negative|minbets=200,rolling_24m,5,exclude_worst_if_negative,200,50,116641,3019.486692314735,-955.8454591100008,3.158969542133114,77.50000000000006,220.0,-470.95858905
mode=rolling_24m|topN=5|band=exclude_worst_if_negative|minbets=500,rolling_24m,5,exclude_worst_if_negative,500,50,116641,3019.486692314735,-955.8454591100008,3.158969542133114,77.50000000000006,220.0,-470.95858905
mode=rolling_24m|topN=5|band=exclude_worst_if_negative|minbets=1000,rolling_24m,5,exclude_worst_if_negative,1000,50,116641,3019.486692314735,-955.8454591100008,3.158969542133114,77.50000000000006,220.0,-470.95858905
