variant,test_month,train_mode,top_n,band_rule,min_train_bets,tracks,worst_band_train,worst_band_train_pnl,band_excluded,test_bets,test_pnl,test_max_dd
mode=expanding|topN=2|band=none|minbets=200,2022-01,expanding,2,none,200,"Harlow,Romford",10-12,997.8009336360967,,1480,-99.8482640488255,-194.55399234933805
mode=expanding|topN=2|band=none|minbets=200,2022-02,expanding,2,none,200,"Harlow,Romford",10-12,993.5097175089643,,1290,166.33680448729956,-210.20611177440693
mode=expanding|topN=2|band=none|minbets=200,2022-03,expanding,2,none,200,"Harlow,Romford",10-12,1022.8985502052567,,1486,275.5255699671066,-163.61061234163355
mode=expanding|topN=2|band=none|minbets=200,2022-04,expanding,2,none,200,"Harlow,Romford",10-12,1010.0407308630513,,1568,446.19841701870587,-58.796584816787174
mode=expanding|topN=2|band=none|minbets=200,2022-05,expanding,2,none,200,"Harlow,Romford",10-12,1095.0577574760077,,1314,208.69304486916022,-87.64039795974494
mode=expanding|topN=2|band=none|minbets=200,2022-06,expanding,2,none,200,"Harlow,Romford",10-12,1125.536731606371,,1432,166.46795316762356,-76.60062112405618
mode=expanding|topN=2|band=none|minbets=200,2022-07,expanding,2,none,200,"Harlow,Romford",10-12,1166.3369539601229,,1496,-29.285619064293797,-177.76996836590007
mode=expanding|topN=2|band=none|minbets=200,2022-08,expanding,2,none,200,"Harlow,Romford",10-12,1101.132935537506,,1298,174.37294086232995,-231.8349898997276
mode=expanding|topN=2|band=none|minbets=200,2022-09,expanding,2,none,200,"Harlow,Romford",10-12,1100.3467722704754,,1204,25.557326307164175,-181.582801512
mode=expanding|topN=2|band=none|minbets=200,2022-10,expanding,2,none,200,"Harlow,Romford",10-12,1162.0652085155834,,1542,130.41233521022139,-65.00249930767808
mode=expanding|topN=2|band=none|minbets=200,2022-11,expanding,2,none,200,"Harlow,Romford",10-12,1402.6066663364231,,1328,159.019465380067,-117.71711730670185
mode=expanding|topN=2|band=none|minbets=200,2022-12,expanding,2,none,200,"Harlow,Romford",10-12,1435.873384554255,,1282,114.38600875641573,-46.0
mode=expanding|topN=2|band=none|minbets=200,2023-01,expanding,2,none,200,"Harlow,Romford",10-12,1424.8055979973383,,1350,-52.58040238868775,-188.75422885192717
mode=expanding|topN=2|band=none|minbets=200,2023-02,expanding,2,none,200,"Harlow,Romford",12-15,1418.1085383966633,,1342,28.235781250380526,-188.99210978856385
mode=expanding|topN=2|band=none|minbets=200,2023-03,expanding,2,none,200,"Harlow,Romford",12-15,1276.5989389689669,,1558,95.21953794000001,-121.84358196000001
mode=expanding|topN=2|band=none|minbets=200,2023-04,expanding,2,none,200,"Harlow,Romford",12-15,1330.494764288967,,1542,137.89314453999998,-201.0166646
mode=expanding|topN=2|band=none|minbets=200,2023-05,expanding,2,none,200,"Harlow,Romford",12-15,1435.5474648289673,,1602,-123.6673933,-215.07541197999998
mode=expanding|topN=2|band=none|minbets=200,2023-06,expanding,2,none,200,"Harlow,Romford",12-15,1346.826567708967,,1438,16.459020659999993,-152.15465258
mode=expanding|topN=2|band=none|minbets=200,2023-07,expanding,2,none,200,"Harlow,Romford",12-15,1184.602521428967,,1284,67.09868842000003,-131.54116998
mode=expanding|topN=2|band=none|minbets=200,2023-08,expanding,2,none,200,"Harlow,Romford",12-15,1276.6702295289672,,1204,-168.7265565,-161.25272697999998
mode=expanding|topN=2|band=none|minbets=200,2023-09,expanding,2,none,200,"Harlow,Romford",12-15,1175.107886028967,,1212,239.89927754,-86.45535668
mode=expanding|topN=2|band=none|minbets=200,2023-10,expanding,2,none,200,"Harlow,Romford",12-15,1508.273168168967,,1100,101.14409059999997,-112.0
mode=expanding|topN=2|band=none|minbets=200,2023-11,expanding,2,none,200,"Harlow,Romford",10-12,1598.3563104106365,,1140,269.24355762,-110.02188910000001
mode=expanding|topN=2|band=none|minbets=200,2023-12,expanding,2,none,200,"Harlow,Romford",10-12,1681.8912227106366,,1200,-405.70498174,-434.38242124
mode=expanding|topN=2|band=none|minbets=200,2024-01,expanding,2,none,200,"Harlow,Romford",10-12,1595.9779044106363,,1206,-75.74926468,-154.16270052
mode=expanding|topN=2|band=none|minbets=200,2024-02,expanding,2,none,200,"Harlow,Romford",10-12,1553.1929089106366,,1108,189.52022968000003,-68.0
mode=expanding|topN=2|band=none|minbets=200,2024-03,expanding,2,none,200,"Harlow,Romford",10-12,1586.7413848106366,,1346,-68.89990852000003,-171.33226448
mode=expanding|topN=2|band=none|minbets=200,2024-04,expanding,2,none,200,"Harlow,Romford",10-12,1678.6223610706363,,1146,223.88674415999998,-59.565345259999994
mode=expanding|topN=2|band=none|minbets=200,2024-05,expanding,2,none,200,"Harlow,Romford",10-12,1795.3403376506362,,1242,-63.00255642000003,-140.62262768
mode=expanding|topN=2|band=none|minbets=200,2024-06,expanding,2,none,200,"Harlow,Romford",10-12,1652.6494620706364,,1196,278.68961931999996,-175.3618942
mode=expanding|topN=2|band=none|minbets=200,2024-07,expanding,2,none,200,"Romford,Harlow",10-12,1823.5684387506362,,1126,93.61738718,-133.53280876000002
mode=expanding|topN=2|band=none|minbets=200,2024-08,expanding,2,none,200,"Romford,Harlow",10-12,1895.1482355706364,,1090,314.32579562,-98.64507997999999
mode=expanding|topN=2|band=none|minbets=200,2024-09,expanding,2,none,200,"Romford,Harlow",10-12,2071.074108290636,,1074,-346.97912088,-377.08376954
mode=expanding|topN=2|band=none|minbets=200,2024-10,expanding,2,none,200,"Romford,Harlow",10-12,2030.6789900506365,,1084,131.32104822000002,-97.11580768
mode=expanding|topN=2|band=none|minbets=200,2024-11,expanding,2,none,200,"Romford,Harlow",12-15,2068.3890208289667,,1126,-17.565171279999998,-169.28103342
mode=expanding|topN=2|band=none|minbets=200,2024-12,expanding,2,none,200,"Romford,Harlow",12-15,2002.161471708967,,1142,-195.80468954,-230.18097334
mode=expanding|topN=2|band=none|minbets=200,2025-01,expanding,2,none,200,"Romford,Harlow",12-15,1997.873342388967,,1128,123.78842912,-80.0
mode=expanding|topN=2|band=none|minbets=200,2025-02,expanding,2,none,200,"Romford,Harlow",12-15,2077.146283368967,,1138,52.41745198,-263.21412296
mode=expanding|topN=2|band=none|minbets=200,2025-03,expanding,2,none,200,"Romford,Harlow",12-15,2023.3748296689673,,1258,-133.71721811999998,-191.56452036000002
mode=expanding|topN=2|band=none|minbets=200,2025-04,expanding,2,none,200,"Romford,Harlow",12-15,2075.348980568967,,1198,66.34382474000003,-123.59916754000001
mode=expanding|topN=2|band=none|minbets=200,2025-05,expanding,2,none,200,"Romford,Harlow",12-15,2185.950495448967,,1304,-29.095447159999992,-253.4708404
mode=expanding|topN=2|band=none|minbets=200,2025-06,expanding,2,none,200,"Romford,Harlow",10-12,2226.0905492706365,,1136,-78.46015916000002,-121.23310334
mode=expanding|topN=2|band=none|minbets=200,2025-07,expanding,2,none,200,"Romford,Towcester",10-12,1183.9848006805828,,1170,-176.51290604000002,-262.21906902
mode=expanding|topN=2|band=none|minbets=200,2025-08,expanding,2,none,200,"Romford,Harlow",10-12,2186.365444690636,,1204,-79.87389271,-181.23388806999998
mode=expanding|topN=2|band=none|minbets=200,2025-09,expanding,2,none,200,"Romford,Harlow",12-15,2134.8357231889668,,556,-36.41280085,-107.45008185
mode=expanding|topN=2|band=none|minbets=200,2025-10,expanding,2,none,200,"Romford,Harlow",12-15,2086.496099408967,,567,-56.51262290000001,-68.4010975
mode=expanding|topN=2|band=none|minbets=200,2025-11,expanding,2,none,200,"Romford,Harlow",12-15,2068.162684258967,,485,-2.426416379999999,-60.102771329999996
mode=expanding|topN=2|band=none|minbets=200,2025-12,expanding,2,none,200,"Romford,Harlow",10-12,2074.0964583706364,,549,-40.014994079999994,-80.90627609
mode=expanding|topN=2|band=none|minbets=200,2026-01,expanding,2,none,200,"Romford,Harlow",10-12,2046.0862377506362,,555,58.73119676000001,-39.05775723000001
mode=expanding|topN=2|band=none|minbets=200,2026-02,expanding,2,none,200,"Romford,Harlow",10-12,2092.167644410636,,526,180.25556935999998,-23.07129458
mode=expanding|topN=2|band=none|minbets=500,2022-01,expanding,2,none,500,"Harlow,Romford",10-12,997.8009336360967,,1480,-99.8482640488255,-194.55399234933805
mode=expanding|topN=2|band=none|minbets=500,2022-02,expanding,2,none,500,"Harlow,Romford",10-12,993.5097175089643,,1290,166.33680448729956,-210.20611177440693
mode=expanding|topN=2|band=none|minbets=500,2022-03,expanding,2,none,500,"Harlow,Romford",10-12,1022.8985502052567,,1486,275.5255699671066,-163.61061234163355
mode=expanding|topN=2|band=none|minbets=500,2022-04,expanding,2,none,500,"Harlow,Romford",10-12,1010.0407308630513,,1568,446.19841701870587,-58.796584816787174
mode=expanding|topN=2|band=none|minbets=500,2022-05,expanding,2,none,500,"Harlow,Romford",10-12,1095.0577574760077,,1314,208.69304486916022,-87.64039795974494
mode=expanding|topN=2|band=none|minbets=500,2022-06,expanding,2,none,500,"Harlow,Romford",10-12,1125.536731606371,,1432,166.46795316762356,-76.60062112405618
mode=expanding|topN=2|band=none|minbets=500,2022-07,expanding,2,none,500,"Harlow,Romford",10-12,1166.3369539601229,,1496,-29.285619064293797,-177.76996836590007
mode=expanding|topN=2|band=none|minbets=500,2022-08,expanding,2,none,500,"Harlow,Romford",10-12,1101.132935537506,,1298,174.37294086232995,-231.8349898997276
mode=expanding|topN=2|band=none|minbets=500,2022-09,expanding,2,none,500,"Harlow,Romford",10-12,1100.3467722704754,,1204,25.557326307164175,-181.582801512
mode=expanding|topN=2|band=none|minbets=500,2022-10,expanding,2,none,500,"Harlow,Romford",10-12,1162.0652085155834,,1542,130.41233521022139,-65.00249930767808
mode=expanding|topN=2|band=none|minbets=500,2022-11,expanding,2,none,500,"Harlow,Romford",10-12,1402.6066663364231,,1328,159.019465380067,-117.71711730670185
mode=expanding|topN=2|band=none|minbets=500,2022-12,expanding,2,none,500,"Harlow,Romford",10-12,1435.873384554255,,1282,114.38600875641573,-46.0
mode=expanding|topN=2|band=none|minbets=500,2023-01,expanding,2,none,500,"Harlow,Romford",10-12,1424.8055979973383,,1350,-52.58040238868775,-188.75422885192717
mode=expanding|topN=2|band=none|minbets=500,2023-02,expanding,2,none,500,"Harlow,Romford",12-15,1418.1085383966633,,1342,28.235781250380526,-188.99210978856385
mode=expanding|topN=2|band=none|minbets=500,2023-03,expanding,2,none,500,"Harlow,Romford",12-15,1276.5989389689669,,1558,95.21953794000001,-121.84358196000001
mode=expanding|topN=2|band=none|minbets=500,2023-04,expanding,2,none,500,"Harlow,Romford",12-15,1330.494764288967,,1542,137.89314453999998,-201.0166646
mode=expanding|topN=2|band=none|minbets=500,2023-05,expanding,2,none,500,"Harlow,Romford",12-15,1435.5474648289673,,1602,-123.6673933,-215.07541197999998
mode=expanding|topN=2|band=none|minbets=500,2023-06,expanding,2,none,500,"Harlow,Romford",12-15,1346.826567708967,,1438,16.459020659999993,-152.15465258
mode=expanding|topN=2|band=none|minbets=500,2023-07,expanding,2,none,500,"Harlow,Romford",12-15,1184.602521428967,,1284,67.09868842000003,-131.54116998
mode=expanding|topN=2|band=none|minbets=500,2023-08,expanding,2,none,500,"Harlow,Romford",12-15,1276.6702295289672,,1204,-168.7265565,-161.25272697999998
mode=expanding|topN=2|band=none|minbets=500,2023-09,expanding,2,none,500,"Harlow,Romford",12-15,1175.107886028967,,1212,239.89927754,-86.45535668
mode=expanding|topN=2|band=none|minbets=500,2023-10,expanding,2,none,500,"Harlow,Romford",12-15,1508.273168168967,,1100,101.14409059999997,-112.0
mode=expanding|topN=2|band=none|minbets=500,2023-11,expanding,2,none,500,"Harlow,Romford",10-12,1598.3563104106365,,1140,269.24355762,-110.02188910000001
mode=expanding|topN=2|band=none|minbets=500,2023-12,expanding,2,none,500,"Harlow,Romford",10-12,1681.8912227106366,,1200,-405.70498174,-434.38242124
mode=expanding|topN=2|band=none|minbets=500,2024-01,expanding,2,none,500,"Harlow,Romford",10-12,1595.9779044106363,,1206,-75.74926468,-154.16270052
mode=expanding|topN=2|band=none|minbets=500,2024-02,expanding,2,none,500,"Harlow,Romford",10-12,1553.1929089106366,,1108,189.52022968000003,-68.0
mode=expanding|topN=2|band=none|minbets=500,2024-03,expanding,2,none,500,"Harlow,Romford",10-12,1586.7413848106366,,1346,-68.89990852000003,-171.33226448
mode=expanding|topN=2|band=none|minbets=500,2024-04,expanding,2,none,500,"Harlow,Romford",10-12,1678.6223610706363,,1146,223.88674415999998,-59.565345259999994
mode=expanding|topN=2|band=none|minbets=500,2024-05,expanding,2,none,500,"Harlow,Romford",10-12,1795.3403376506362,,1242,-63.00255642000003,-140.62262768
mode=expanding|topN=2|band=none|minbets=500,2024-06,expanding,2,none,500,"Harlow,Romford",10-12,1652.6494620706364,,1196,278.68961931999996,-175.3618942
mode=expanding|topN=2|band=none|minbets=500,2024-07,expanding,2,none,500,"Romford,Harlow",10-12,1823.5684387506362,,1126,93.61738718,-133.53280876000002
mode=expanding|topN=2|band=none|minbets=500,2024-08,expanding,2,none,500,"Romford,Harlow",10-12,1895.1482355706364,,1090,314.32579562,-98.64507997999999
mode=expanding|topN=2|band=none|minbets=500,2024-09,expanding,2,none,500,"Romford,Harlow",10-12,2071.074108290636,,1074,-346.97912088,-377.08376954
mode=expanding|topN=2|band=none|minbets=500,2024-10,expanding,2,none,500,"Romford,Harlow",10-12,2030.6789900506365,,1084,131.32104822000002,-97.11580768
mode=expanding|topN=2|band=none|minbets=500,2024-11,expanding,2,none,500,"Romford,Harlow",12-15,2068.3890208289667,,1126,-17.565171279999998,-169.28103342
mode=expanding|topN=2|band=none|minbets=500,2024-12,expanding,2,none,500,"Romford,Harlow",12-15,2002.161471708967,,1142,-195.80468954,-230.18097334
mode=expanding|topN=2|band=none|minbets=500,2025-01,expanding,2,none,500,"Romford,Harlow",12-15,1997.873342388967,,1128,123.78842912,-80.0
mode=expanding|topN=2|band=none|minbets=500,2025-02,expanding,2,none,500,"Romford,Harlow",12-15,2077.146283368967,,1138,52.41745198,-263.21412296
mode=expanding|topN=2|band=none|minbets=500,2025-03,expanding,2,none,500,"Romford,Harlow",12-15,2023.3748296689673,,1258,-133.71721811999998,-191.56452036000002
mode=expanding|topN=2|band=none|minbets=500,2025-04,expanding,2,none,500,"Romford,Harlow",12-15,2075.348980568967,,1198,66.34382474000003,-123.59916754000001
mode=expanding|topN=2|band=none|minbets=500,2025-05,expanding,2,none,500,"Romford,Harlow",12-15,2185.950495448967,,1304,-29.095447159999992,-253.4708404
mode=expanding|topN=2|band=none|minbets=500,2025-06,expanding,2,none,500,"Romford,Harlow",10-12,2226.0905492706365,,1136,-78.46015916000002,-121.23310334
mode=expanding|topN=2|band=none|minbets=500,2025-07,expanding,2,none,500,"Romford,Towcester",10-12,1183.9848006805828,,1170,-176.51290604000002,-262.21906902
mode=expanding|topN=2|band=none|minbets=500,2025-08,expanding,2,none,500,"Romford,Harlow",10-12,2186.365444690636,,1204,-79.87389271,-181.23388806999998
mode=expanding|topN=2|band=none|minbets=500,2025-09,expanding,2,none,500,"Romford,Harlow",12-15,2134.8357231889668,,556,-36.41280085,-107.45008185
