sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
0,-965.1755681444826,-1737.728206359703,-259.14498512296666,1,1,1,1,1,1,0
1,1589.5526945926233,-452.9046798132406,-241.6982901004744,0,0,0,0,0,0,0
2,-1133.1365311959798,-1445.744479576575,-238.64766056669245,1,1,1,1,1,0,0
3,-998.6577356388198,-1543.6668653044067,-242.16034144047435,1,1,1,1,1,0,0
4,409.0193737191774,-1074.1694244634127,-259.62073106231134,1,1,0,0,0,0,0
5,880.525052925376,-861.4099941320673,-216.37809977650397,1,1,0,0,0,0,0
6,-953.4578191138617,-1444.6407936447451,-242.1603414404744,1,1,1,1,1,0,0
7,283.81482687514523,-566.8031827659786,-223.80635696082453,1,1,0,0,0,0,0
8,196.95061340952026,-845.5623185646149,-205.06930462999998,1,0,0,0,0,0,0
9,-1239.1897151915452,-1723.4074652138008,-229.73826093726578,1,1,1,1,1,1,0
10,-452.6446815893092,-652.5224554947936,-247.10541997475406,1,1,1,0,0,0,0
11,-1064.4233355777203,-1254.1555573040566,-267.249871668351,1,1,1,1,1,0,0
12,865.1749403689365,-899.0015903589233,-252.37345795465183,1,1,0,0,0,0,0
13,-123.0763213471859,-1536.5409441195006,-259.62073106231134,0,0,0,0,0,0,0
14,-229.72735859025306,-969.8237347780453,-236.03108844433987,1,1,0,0,0,0,0
15,-368.9854373383154,-1624.2241547899612,-254.48278662047437,1,1,1,1,1,0,0
16,-604.1643211645355,-1317.7167745500806,-253.6507777639637,1,1,1,0,0,0,0
17,-295.33666715194516,-938.482917637326,-267.2498716683509,1,1,0,0,0,0,0
18,-33.39917185824704,-1270.5343980270586,-264.47996581006265,1,1,1,1,1,0,0
19,-998.1766642476157,-1711.732258250388,-235.32443546020477,1,1,1,1,1,0,0
20,74.33131667383952,-1295.9580077947473,-240.04747717723006,1,1,1,1,1,0,0
21,241.39270260194547,-1081.180772551534,-253.14566760402928,1,0,0,0,0,0,0
22,1219.1939015720138,-541.8836774592515,-243.84145461125564,1,1,0,0,0,0,0
23,-67.73963487237518,-1164.207683810282,-259.62073106231134,1,1,1,1,0,0,0
24,-260.51874406800425,-857.705846773554,-213.0648262473209,1,1,1,0,0,0,0
25,-519.1511099833988,-983.080521673922,-267.249871668351,1,1,1,0,0,0,0
26,-1527.743162387219,-1630.8220937018737,-216.54044288000006,1,1,1,1,1,1,0
27,-1458.360323870141,-2104.043199511618,-257.0857380489746,1,1,1,1,1,1,0
28,-2032.9813712073717,-2319.1479612775343,-254.48278662047437,1,1,1,1,1,1,1
29,239.73171078223837,-1562.5202340340725,-231.62004623999997,1,1,1,1,0,0,0
30,-1380.5546112550114,-1985.604971102666,-222.77664200000004,1,1,1,1,1,1,0
31,-2065.7089897995247,-2695.39186866146,-257.0857380489745,1,1,1,1,1,1,1
32,524.7165928172171,-1133.7625202149318,-229.7382609372658,0,0,0,0,0,0,0
33,-226.62641415347898,-1145.0847063548244,-236.9490784093999,1,1,1,1,0,0,0
34,153.9055718519828,-789.0538506858343,-222.776642,1,1,0,0,0,0,0
35,-126.24247642305386,-653.4601498340169,-236.0310884443398,1,1,1,0,0,0,0
36,-1015.2067208521738,-1569.8342363649017,-259.6207310623113,1,1,1,1,1,1,0
37,367.99343463136836,-717.873003667906,-219.5148789147185,1,1,1,0,0,0,0
38,146.9401786544768,-862.5560868672246,-220.1828747304744,1,1,1,1,0,0,0
39,847.7924798979179,-972.2988803454928,-243.84145461125559,1,1,1,0,0,0,0
40,-1081.0501070783907,-1777.8906437753253,-257.0857380489746,1,1,1,1,1,0,0
41,2142.2957774776387,-468.7859200347839,-231.62004624,1,0,0,0,0,0,0
42,-706.3887683939704,-1215.0543630177085,-226.36986714539933,1,1,1,1,1,0,0
43,-597.0693650352839,-1083.2375108548567,-242.16034144047435,1,1,1,1,0,0,0
44,-2163.935221823536,-2426.2855898276425,-257.08573804897463,1,1,1,1,1,1,1
45,-1051.870432466863,-1530.634473196688,-254.48278662047437,1,1,1,1,1,0,0
46,150.5049121109849,-785.4071747286266,-236.03108844433982,1,1,1,0,0,0,0
47,-272.890595060687,-905.6447953996424,-267.2498716683509,1,1,1,0,0,0,0
48,-764.5611673553951,-1711.0605855104372,-247.10541997475406,1,1,1,1,1,0,0
49,268.555233981328,-804.140611294662,-264.4799658100626,1,1,1,0,0,0,0
50,-166.82864534273392,-1220.7390890276079,-225.50389285316874,1,1,1,0,0,0,0
51,-1502.5974326970197,-1837.4464740258557,-252.37345795465183,1,1,1,1,1,1,0
52,410.37877034444506,-1310.2829677006112,-257.0857380489745,1,1,0,0,0,0,0
53,1025.1490581482515,-652.3691532049401,-205.06930463000003,0,0,0,0,0,0,0
54,519.0294284354529,-1143.4997274165862,-246.69073894047432,1,1,1,1,0,0,0
55,157.8633540092178,-542.7272769164078,-236.03108844433984,1,1,0,0,0,0,0
56,347.81342879861006,-682.1149452365386,-252.37345795465183,1,0,0,0,0,0,0
57,993.7731013507849,-707.4564753803108,-257.0857380489747,0,0,0,0,0,0,0
58,-1204.241851370285,-1362.4399309047424,-259.6207310623114,1,1,1,1,1,0,0
59,-354.19517456060487,-1261.171634786853,-216.37809977650397,1,1,1,1,1,0,0
60,-1728.5210153045393,-1989.8039399726208,-254.48278662047431,1,1,1,1,1,1,0
61,-251.50967926461504,-1041.7276310646916,-221.69590334273846,1,1,0,0,0,0,0
62,612.7319224155535,-726.4741254817102,-283.7052393130169,1,1,1,0,0,0,0
63,-1636.4032767291933,-2046.8674024794395,-242.1603414404744,1,1,1,1,1,1,0
64,-684.2687954584592,-1151.5990411293835,-238.6476605666925,1,1,1,1,1,0,0
65,-31.49077983727453,-963.5320437889499,-251.15213871031793,1,1,1,0,0,0,0
66,-1353.0002473808706,-1954.6620425557335,-205.06930463000012,1,1,1,1,1,1,0
67,2086.784535512848,-532.1274798168231,-283.7052393130168,1,0,0,0,0,0,0
68,192.40716446942056,-1103.8216004866347,-251.15213871031793,1,1,0,0,0,0,0
69,-1025.0806924717126,-1585.0821863310293,-221.3021572995804,1,1,1,1,1,0,0
70,89.09691721039886,-768.3080829515087,-251.8725317665835,0,0,0,0,0,0,0
71,327.84920479005524,-987.6207778166405,-251.15213871031787,0,0,0,0,0,0,0
72,858.3117485652286,-658.5448628622472,-246.6907389404744,0,0,0,0,0,0,0
73,-1401.011580145395,-1976.6805314134244,-251.15213871031796,1,1,1,1,1,1,0
74,1108.8142338186162,-855.7900308614878,-236.03108844433984,1,1,0,0,0,0,0
75,-205.7899694019678,-1269.6826165438845,-236.94907840940002,1,1,1,1,1,0,0
76,-1325.3142038746435,-1677.578709994362,-254.4827866204744,1,1,1,1,1,1,0
