sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
0,325.8490584891013,-816.4244621523644,-225.4845158824915,0,0,0,0,0,0,0
1,89.8105965757749,-876.9397971764643,-216.27970657331144,0,0,0,0,0,0,0
2,-364.5931459173957,-1479.0770097022241,-245.30612481291215,1,1,1,1,1,0,0
3,-412.70617861346216,-1156.4293237063284,-223.7982850978464,1,1,0,0,0,0,0
4,361.0876006293038,-679.2114064273676,-225.27295001433984,1,1,1,0,0,0,0
5,-1250.7616108526306,-1637.4806759415967,-223.79828509784625,1,1,1,1,1,1,0
6,-889.9964316934932,-1123.6507614754514,-214.12755333943682,1,1,1,1,1,0,0
7,-998.4657417812101,-1246.8075507935382,-222.97585359,1,1,1,1,1,0,0
8,594.5467193478568,-661.661480123666,-214.12755333943682,1,1,0,0,0,0,0
9,-652.3828912328175,-1249.8117078542145,-213.97930463000003,1,1,1,1,0,0,0
10,-430.82003374945765,-920.0137761470675,-213.97930463,1,1,1,1,0,0,0
11,374.4690643339901,-1138.6657167001993,-223.79828509784627,1,1,1,1,1,0,0
12,-194.5187407636084,-1049.5457188310447,-213.97930463,1,1,1,0,0,0,0
13,315.72196546325017,-747.2319088138822,-213.97930463000003,1,0,0,0,0,0,0
14,-1292.7352413701217,-1869.0045188537852,-223.7982850978463,1,1,1,1,1,0,0
15,667.9639435420416,-988.3859518201153,-213.97930463000003,0,0,0,0,0,0,0
16,-705.2436485217021,-991.8652071223726,-230.90973585471846,1,1,1,1,0,0,0
17,242.34041632458107,-629.8645153520774,-223.79828509784625,0,0,0,0,0,0,0
18,-334.55221909799036,-1244.5907249883098,-245.30612481291212,1,1,1,1,1,0,0
19,357.1177854936142,-595.7664809163821,-216.84916643685744,1,0,0,0,0,0,0
20,1964.5113728663243,-620.0183610267873,-223.6667963068574,1,1,0,0,0,0,0
21,-796.5414205880322,-1119.2780576425048,-213.97930462999997,1,1,1,1,0,0,0
22,-1459.8448812847419,-1832.0364583620708,-230.90973585471846,1,1,1,1,1,0,0
23,-495.59056911340997,-1142.916780864813,-213.97930462999997,1,1,1,1,1,0,0
24,1065.236097152466,-618.6421369112971,-213.97930463,0,0,0,0,0,0,0
25,921.2397124381744,-1131.9596574222353,-245.30612481291217,0,0,0,0,0,0,0
26,-500.7059750331777,-977.4970054113353,-216.84916643685744,1,1,1,0,0,0,0
27,559.410890434835,-1019.1546696641071,-223.79828509784625,1,0,0,0,0,0,0
28,-911.0036730554802,-1374.970396369379,-223.66679630685746,1,1,1,1,1,0,0
29,1102.201423156445,-417.00238849471833,-216.27970657331144,0,0,0,0,0,0,0
30,-774.3705037914403,-1290.064955902287,-222.97585358999999,1,1,1,1,0,0,0
31,1585.9973194654383,-587.4484326163074,-245.30612481291217,0,0,0,0,0,0,0
32,-2367.2225880158717,-2637.8542660277694,-222.97585358999999,1,1,1,1,1,1,1
33,-459.559921775101,-844.3905405508381,-216.27970657331144,1,1,1,0,0,0,0
34,-167.57074648351187,-776.2652546361282,-213.97930463,1,1,1,0,0,0,0
35,-1291.3713726072003,-1791.4707539624542,-245.3061248129122,1,1,1,1,1,1,0
36,695.4317109824937,-1011.1794728225414,-223.7982850978463,0,0,0,0,0,0,0
37,158.77929047473492,-780.5922588238992,-245.30612481291217,0,0,0,0,0,0,0
38,-252.58486372412233,-1438.9700022826132,-213.97930463000003,1,1,0,0,0,0,0
