start_idx,trough_idx,recovery_idx,peak_equity,dd_amount,dd_pct,duration_days
0,69,126.0,-0.8364801691167669,-24.705816283830938,29.535447696169083,126
126,127,128.0,-0.2992756011681863,-0.4972467162380221,1.6615010187836208,2
131,145,167.0,7.729986736853037,-14.54399466292179,-1.881503184679824,36
167,172,179.0,8.477160517542222,-5.919970581271305,-0.6983435749530527,12
179,462,533.0,10.107627567693887,-42.87314159644215,-4.241662181289086,354
534,789,865.0,15.705014028956292,-36.20916678626633,-2.30558003447213,331
865,866,867.0,17.161962852689957,-0.47323410999999993,-0.027574591208593922,2
867,868,869.0,18.503873562689957,-2.287703839999999,-0.12363378036762965,2
870,873,877.0,21.42492404268996,-7.369519220000003,-0.3439694444337801,7
878,885,905.0,22.544989692689953,-14.690466479999998,-0.6516067064232579,27
905,906,907.0,26.902704152689957,-1.8464305000000003,-0.06863363955981276,2
909,910,912.0,28.974843032689957,-1.450441940000001,-0.05005866428210105,3
913,921,930.0,33.776680242689956,-6.827374299999999,-0.202132780692016,17
932,1076,1509.0,39.67428555268995,-64.79536267999998,-1.633182848219098,577
1509,1513,1516.0,40.024222762689945,-3.5194349799999998,-0.08793262522216348,7
1518,1519,1520.0,44.81208887268995,-1.0304777099999995,-0.022995529463657932,2
1524,1527,1528.0,49.74078933268996,-5.831481400000001,-0.11723741175469275,4
1531,1535,1539.0,53.16829076268995,-1.7234511299999937,-0.03241501852471435,8
1539,1540,1541.0,54.67140048268995,-0.25686251999999854,-0.0046982977888288474,2
1544,1548,1549.0,63.34090458268995,-1.4938583400000027,-0.02358441752358949,5
1553,1554,1558.0,71.68377699268996,-3.2314465299999995,-0.04507918898204165,5
1559,1561,1562.0,74.12875804268997,-4.654585539999999,-0.06279055069720003,3
1562,1567,1570.0,75.88063574268998,-5.263192799999999,-0.0693614747489386,8
1570,1708,,78.33513382268997,-44.680868960000026,-0.5703809616402047,284
